Título,Comentario,Puntaje
Atención al cliente pésima,Atención al cliente pésima. Llamamons por una incidencia con un propietario y la chica que nos atendió nos colgó sin dar motivo ni ayuda.Poco profesional y cero resolutivos.,Valorada con 1 estrellas sobre 5
"Nefasta experiencia, para no repetir","El alojamiento estaba lleno de telas de araña,arañas muertas en los armarios,suciedad en los colchones....ante esos problemas Airbnb se lava las manos y elimina los comentarios negativos sobre el alojamiento en cuestión para evitar que les vuelva a pasar a otros en el futuro.",Valorada con 1 estrellas sobre 5
Es una basura de plataforma,"Es una basura de plataforma. Cancelan por su cuenta el alojamiento si el anfitrión se lo pide y te ves sin el dinero de la reserva y en la calle. Ademas mandan datos de las reservas a los ayuntamientos y a la policia local, un desproposito falta de proteccion. Ademas pedir el dni por la cara principal esta prohibido y ellos lo hacen",Valorada con 1 estrellas sobre 5
NO PAGAN NINGUN DAÑO O ROBO  DE HUESPEDES,"AVISO A PROPIETARIOS, no usen esta plataforma, no paga los daños de los huéspedes, pierdes un montón de tiempo reclamando, y como no les han retenido ni un minimo importe, NO SE HACEN CARGO, hacen de jueces, te marean, excusas Y QUE EL PROPIETARIO O GESTOR Se coma todos los daños o robos de los huespedes. Y te piden datos personales de propietarios en contra de la ley de Protección de Datos, quien alquile, que sepa que tendrá que pagar todo lo que rompan o roben. PLATAFORMA FRAUDULENTA",Valorada con 1 estrellas sobre 5
La mayoría cuesta más que los hoteles…,La mayoría cuesta más que los hoteles de 4 estrellas. Este servicio se ha vuelto inútil,Valorada con 1 estrellas sobre 5
Cancelan el día de antes y nos dejan sin vacaciones,"Hicimos una reserva en Oviedo del 15 al 23 de agosto, pagamos todo y hablamos hasta con la anfitriona. Todo fenomenal. El 13 de agosto por la tarde Airbnb nos cancela la reserva, nos da apartamentos de una habitación para tres personas o nos envía a la otra punta de Asturias, como dicen que no lo aceptamos nos devuelven el dinero y nos dejan tirados sin vacaciones a toda la familia. No les importa nada el daño que nos han hecho. Es una indefensión total. Si cancelo yo pierdo el dinero, cancelan ellos y me dejan sin vacaciones.... No os fiéis nunca de Airbnb, os pueden dejar tirados en cualquier momento. Llevo toda la tarde llorando y buscando solución... De momento no tengo nada...",Valorada con 1 estrellas sobre 5
En la calle,Nuestro anfitrión no dió señales de vida y airbnb nos dejó en la calle. Nos han devuelto el dinero pero el presupuesto del verano nos lo hemos gastado en dos noches de hotel.,Valorada con 1 estrellas sobre 5
"Airbnb cancela reservas, no te fíes","Tenía un apartamento reservado desde Enero y a finales de Mayo Airbnb me cancela la reserva, estando confirmada y pagada en parte. Tuve que buscar otra opción cuando apenas había disponibilidad y los precios más caros y el alojamiento que reservé no era ni parecido al inicial. Ellos dicen que solo hacen de intermediarios y me dieron un bono descuento ridículo. Pues no señores, deberían buscar una solución consiguiendo un apartamento con las mismas características que el inicial y el mismo precio y en tal caso hacerse cargo de la diferencia.",Valorada con 1 estrellas sobre 5
Siempre un hotel será mejor alternativa,"Llevo años utilizando la plataforma, confiando en “los estándares”Lamentablemente, me tocó la experiencia en NY de que la ubicación no era la correcta, luego poder entrar al lugar fue difícil, y por último el baño del lugar.Pero el anfitrión era “un súper anfitrión”, pagué $664 y luego de mil batallas con el mal manejo de mi caso, solo me devolvieron $250, además tuve que rentar otro espacio, incurriendo en un doble gasto. El caso fue supuestamente escalado, pero “nadie podía ayudar”.En fin, terrible experiencia, pero será mi última. Escoger esta alternativa, puede salir muy mal.",Valorada con 1 estrellas sobre 5
Pemite insultos en su plataforma pública,"Hoy en día que existe una sensibilidad en las redes sociales frente a los insultos, esta empresa tiene muchas políticas de los esto y de lo otro y resulta que permite insultos personales de los anfitriones a sus huéspedes en su plataforma.",Valorada con 1 estrellas sobre 5
Cancelación a 10 días de la estancia para el 15 de agosto a Torrevieja Airbnb,"Llevo años utilizando Airbnb, y el anfitrión me acaba de cancelar a día 5 de agosto una reserva para el 15 de agosto en Torrevieja, para 8 personas y con piscina que cogí con tiempo... porque no tiene la licencia...y la señora de atención me dice que si si se me va a devolver el dinero... Y que alternativas? Ninguna  Una vergüenza",Valorada con 1 estrellas sobre 5
indignante,"Un desastre. Tenía la confirmación de mi alojamiento el Oporto. Cuando llegué, cansada del viaje, al mediodía con 38 grados y cargada de maletas, me dicen en el apartamento que lo habían cancelado el día anterior y no entienden por qué Airbnb no me avisó de la cancelación. La respuesta de esta ""empresa"" por no llamarlos de otra manera, es que me devolverían el dinero, pero ninguna solución para alojarme. Es indignante",Valorada con 1 estrellas sobre 5
Airbnb cambió la ubicación de nuestra finca y no ofrece solución,"Después de 6 años alquilando nuestra propiedad en Airbnb, nos encontramos con un problema que nos dejó con más preguntas que respuestas.Hace unos meses, notamos que la ubicación de nuestro anuncio había cambiado. En lugar de aparecer en Guarne, Antioquia —donde realmente está ubicada nuestra finca— el pin ahora muestra que estamos literalmente sobre el aeropuerto de Medellín.Intentamos solucionarlo con Airbnb. Explicamos que no fue un error nuestro, que la plataforma había modificado la ubicación sin nuestro consentimiento. La respuesta fue que no podían hacer nada. La única opción era crear un nuevo anuncio desde cero, perdiendo así la insignia de ""favorito entre huéspedes"" y todo el historial de confianza construido durante años que nos ha costado para obtener esa insignia.Esto no solo nos afecta a nosotros como anfitriones. Es un problema de seguridad y confianza para cualquier huésped. ¿Qué tanto se puede confiar en una plataforma que no verifica ni puede corregir la ubicación de una propiedad? Si un viajero reserva basado en el mapa, esperando una zona específica, ¿qué pasa cuando descubre que en realidad está en otra?",Valorada con 2 estrellas sobre 5
Cuidado con Airbnb .,"Cuidado con Airbnb,han cogido el monopoilo de las casas y son capaces de cualquier cosa.En mi caso el propietario de una vivienda me canceló la solicitud por estar ocupada, el dinero nada más hacer la reserva me lo retienen , y una semana después siguen sin realizar la devolución de un montante importante.Buscaré otras opciones a esta plataforma, son demasiado piratas.",Valorada con 1 estrellas sobre 5
La casa de los horrores,"Tuve una experiencia horrible en un alojamiento de Airbnb: ruidos constantes, cucarachas y falta de limpieza.Solicité reembolso y envié pruebas, pero Airbnb lo rechazó y cerró el caso sin una revisión justa.¿Así cuidan a sus huéspedes? Pido que se reabra el caso.@Airbnb @Airbnb_ES #AirbnbFail #AirbnbES",Valorada con 1 estrellas sobre 5
"Apartamento Balcón con Wifi, Puerto de Santa maría","Todo parecia que iba a estar muy bien a la llegada pero pronto nos dimos cuenta que el apartamento esta muy muy anticuado y muchos de los utiles estan rotos o apunto de romperse y caerse una total decepcion,por no comentar de los bichos que salen de la nevera que ya llevamos matados como 3,no solo es coger el dinero de los apartamentos sino que este apartamento el numero 27 necesita cambios de camas cambiar el sofa que minimo tiene 20 años,el baño la ducha enana y no traga si estas 10 min se te va a salir el agua de la pila la griferia del baño esta toda suelta la ducha pasa igual,la vitroceramica que tiene 40 min pa hacer unos filetes de pollo,al fuego maximo casi no calienta,la sarten es solo 1 bastante deteriorada y doblada se pegan las comidas,las camas incomodisimas todos los colchones de muelle muy desgastados y se notan muchisimos los muelles por no hablar del sofa que es un autentico desastre, es todo una autentica vergüenza tenerlo asi,lo unico son las vistas no tiene ninguna cosa mas,no volvere a este lugar,OJO ESTAMOS DISFRUTANDO SOLO DE UNA SEMANA,MAS DIAS SERIA INSUFRIBLE.la gente que se lo piense antes de venir aqui a este edificio.",Valorada con 1 estrellas sobre 5
Airbnb me ha dejado sin vacaciones,"Airbnb me ha dejado sin vacaciones, me ha cancelado la reserva de mi alojamiento sin motivo ninguno son unos estafadores han dejado a mis hijos sin vacaciones ya no hay nada disponible !!!",Valorada con 1 estrellas sobre 5
He sido super anfitriona en Airbnb…,"He sido super anfitriona en Airbnb durante años, pero en los últimos tiempos la plataforma ha caído en picado. Personas maleducadas e incompetentes realizan gestiones terribles que generan situaciones complicadas, abusivas y parecidas a la estafa a viajeros y anfitriones. Pronóstico un mal futuro a Airbnb.",Valorada con 1 estrellas sobre 5
Gran decepción con el trato de Airbnb a los anfitriones,"Después de años siendo Súper Anfitriona en Airbnb, cuidando cada detalle de cada estancia y ofreciendo un servicio impecable, me he encontrado con una situación profundamente injusta: un huésped me ha dejado una reseña incoherente con la experiencia real, con una puntuación de “2 en calidad” a pesar de haber recibido atención excelente, limpieza perfecta y sin una sola queja durante su estancia.He aportado pruebas, contexto y argumentos sólidos. He seguido el proceso formal. He confiado en el criterio de la plataforma. Y sin embargo, Airbnb ha decidido no eliminar esa reseña.El mensaje que me queda es claro: ni siquiera a los Súper Anfitriones, que sostenemos la calidad de la plataforma día tras día, se nos protege frente a valoraciones evidentemente injustas.Una decepción enorme. No por una crítica puntual, sino por la falta de respaldo de Airbnb cuando más se necesita.",Valorada con 1 estrellas sobre 5
Fatal,"FatalEn dos ocasiones el anfitrión no contesta y me deja en la calle...me ha ocurrido en dos ocasiones con esta plataforma...y tras intentar contactar con la plataforma,lo que hacen en una situación de emergencia es mandarme emails y códigos... chorreadas cuando me he encontrado tirada sin alojamiento y tuve que buscar rápido otro alojamiento por mu cuenta....pagandomelo yo y sin idenminacion por parte de la plataforma ni del anfitrión....y qué le ocurre al anfitrión???? Absolutamente nada...puede seguir ofreciendo la habitación como sí nada....pero la que ha estado esperando por contactar con él y buscarse algo he tenido que ser yo...ninguna responsabilidad por parte de los intermediarios ni del anfitrión... No volváis a usarla",Valorada con 1 estrellas sobre 5
Un huésped llama para decir qmal servicio para los anfitrionesue no…,Un huésped llama para decir que no quiere rellenar los formularios que nos exige la policía. La persona que le atiende en Airbnb le dice que no se preocupe que no es necesario ya que no lo pone en el anuncio. En lugar de decirle que siente el error pero que es necesario según la legislación. Sin importar que nos expongamos a una multa de 6000 euro por parte de la policía.  Esa es la buena labor de los asistentes de Airbnb.  O es desconocimiento o mala leche a la hora de informar,Valorada con 1 estrellas sobre 5
Estafados,"Somos anfitriones de más de 9 años con la plataforma y los últimos huéspedes que hemos tenido nos han estafado. Han estado un día y medio en nuestra vivienda y cancelaron la reserva de cuatro días en temporada alta. Cual es nuestra sorpresa, que ponen una reseña negativa y la página no nos permite contestar. Vamos a dejar de trabajar con Airbnb y por supuesto no recomendamos para nada trabajar con esta plataforma",Valorada con 1 estrellas sobre 5
Nefasta,"Nefasta. Como anfitriona mienten en la edad, entran chavales q te rompen la casa y Airbnb se lava las manos. Nunca más alquilaré el alargamiento con ellos. Además de quedarse un dineral por cada persona q entra, el servicio nulo",Valorada con 1 estrellas sobre 5
Mi experiencia es bastante mala,"Mi experiencia es bastante mala, el anfitrión me canceló la reserva y después de 10 días sigo esperando el reembolso del dinero, llamo a atención al cliente de airbnb y le echan las culpas al banco al cual he ido a informarme, y me dicen que hasta dentro de otros cinco días “ se supone” que me lo ingresan, espero que sea asi!!!!! No reservó más aquí !! SINVERGUENZAS",Valorada con 1 estrellas sobre 5
OJO CON ESTOS DE Airbnb,"Haced caso de las malas reseñas.Me han dejado sin vacaciones, con una deuda activa, con mi cuenta bloqueada y con mis hijos llorando por algo que parecía seguro.Lo peor es que todo lo que ha pasado lo permite su sistema, lo saben y lo asumen como normal,Airbnb permite:1. Que pagues por una reserva que aún no ha sido aceptada.Ves un alojamiento disponible, pagas, te confirman el pago… y crees que todo está hecho. Pero no. El anfitrión aún puede rechazarlo.Y mientras tanto, tu dinero ya no está en tu cuenta. Según ellos “no se cobra”, pero desaparece de tu cuenta bancaria. Se queda retenido por días y tú, sin alternativa.2. Que pidas un préstamo dentro de su app sin saber si el alojamiento será tuyo.Esto roza el absurdo. Airbnb te ofrece pagar a plazos con Klarna incluso antes de que el anfitrión acepte. En mi caso, pedí el préstamo para una estancia del 11 al 13 de julio. Todo parecía correcto, pero 10 minutos después, la anfitriona lo rechazó. es decir hay algo mas absurdo que la propia app te acepte un préstamo para reservar un alojamiento que no esta confirmado? que digo yo... no seria lo mas normal que una vez confirmada la disponibilidad del anfitrión automáticamente la app ponga disponible el préstamo para solicitar? de todas formas ahora, tengo aceptado un préstamo para un alojamiento que me lo han cancelado a los 10 minutos, de un alojamiento que estaba disponible, ojo con la absurdez.¿La razón? Porque ella esperaba otra reserva el 14 y no quería tener huéspedes antes. Pero el anuncio aparecía como disponible. Entonces… ¿por qué no quitó las fechas?El resultado: tengo un préstamo activo con comisiones por algo que no voy a disfrutar. Y para colmo, ese préstamo no se puede reutilizar con otro alojamiento. Es decir, te lo comes... porque cuando solicitas un préstamo solo tienes la opción a utilizarlo con ese alojamiento ya que estas solicitándolo para ese mismo, no en general y tu lo usas donde quieras.3. Que el reembolso lo hagan cuando les dé la gana.El dinero “vuelve a tu cuenta” pero nadie te dice cuándo. Puede tardar días. Y si esas eran tus únicas vacaciones, como fue nuestro caso, ya las has perdido.El daño ya está hecho. El reembolso no compensa la frustración, los intereses del préstamo ni el tiempo perdido.4. Que si reclamas, te bloqueen.Después de reclamar, Airbnb bloqueó mi cuenta. Ya no puedo reservar nada más. Pero si accedo con otro usuario, sí funciona.O sea, castigan al que exige explicaciones, al que ha sido perjudicado, al que tiene razón.5. Que los anfitriones no tengan ninguna consecuencia.Mi anfitriona dejó las fechas abiertas, aceptó que aparecieran como disponibles y después rechazó la solicitud sin más. Y eso, según Airbnb, no tiene consecuencias.Pero yo, que confié, me quedé sin dinero, sin alojamiento y con mis hijos llorando con la maleta a medio hacer.Esto no es un error. Es un modelo que funciona así, y lo permite Airbnb. Y mientras tanto, el viajero lo pierde todo.Y cuando pedimos ayuda, nos dicen que “contactemos con Klarna”. Como si nosotros hubiéramos diseñado el sistema. Como si no fuera responsabilidad de Airbnb respaldar las operaciones que ellos mismos promueven dentro de su app.No hemos recibido ayuda, ni alternativa, ni compensación. Solo excusas, silencio y bloqueo.Quien lea esto, que lo piense dos veces. Porque mañana puede ser tú quien se quede sin dinero, sin viaje… y sin respuesta.",Valorada con 1 estrellas sobre 5
estafadores,"alquile un piso en valencia para ingresar el 26/06  4pm, y por problemas de retrasos de aeropuerto llegue el 27/ 06 a las10 am, mi anfitrion me respondio que no se encontraba en la ciudad y que cuando regresara me informaria ( no dio hora ni fecha) dejandome afuera en la calle, por lo que me toco conseguir otro hospedaje, le solicite el reembolso  al anfitrion, dijo que hablaria con airanb, no me regreso nada por que tiene política de no regreso del dinero ( me estafo) yque yo tenia  que haber ingresado el dia 26, que ya el 27 no podia ingresar a pesar que habia pagado 6 dias de estancia, hable con servicio al clinete de airanb y no hicieron nada, que ellos no podian hacer nada, mal pesimo no protegen los usuarios y si cobran por adelantado su comision,",Valorada con 1 estrellas sobre 5
Muy malo,"Muy malo , me han estafado el dinero de la reserva días antes de la llegada al piso , el anfitrión solo indico que no era creíble que yo pudiera cancelar la ida al lugar, el piso se encuentra en Triana Sevilla , el anfitrión Al aro y coanfitrion se quedan con la totalidad del dinero , no recomiendo la estafa de Airbnb, todavía estoy esperando respuestas , dinero ahorrado y trabajado por mi, se lo quedan porque es su política más sucia y absurda",Valorada con 1 estrellas sobre 5
No recomiendo el airbnb,"No recomiendo airbnb, mi experiencia ha sido muy negativa. Tenía un viaje a París que fue anulado por huelga de controladores aéreos, cancele en cuanto lo supe para evitar problemas al anfitrión. Este alquiló su alojamiento porque así lo comprobé al día siguiente , le pedí el reembolso porque sabía que él no tenía ningún perjuicio por l ña huelga y se negó diciendo que hablara con airbnb. Estos a su vez se negaron diciendo que el anfitrión no quería devolver el dinero. Escandaloso y muy preocupante que ambos se enriquezcan de huelgas de controladores aéreas que saben que los huéspedes no pueden controlar. Recomiendo alquile hoteles donde estas cosas seguro que no hubieran pasado.",Valorada con 1 estrellas sobre 5
Suelen cancelar poco antes del viaje,"No recomiendo alquilar aquí, te cancelan 10 días antes del viaje sin motivo aparente. Te indemnizan con apenas un 2%, si vuelves a alquilar con ellos y buscate la vida a toda prisa con todo mucho más caro. Hay otras páginas mejores que no te hacen esta faena.",Valorada con 1 estrellas sobre 5
Es una vergüenza como tienen Madrid…,Sin comentario,Valorada con 1 estrellas sobre 5
Hice una reserva con Airbnb y,"Hice una reserva con Airbnb y, al día siguiente, me la cancelaron diciendo que no se había verificado correctamente la foto de mi DNI. Me puse en contacto con el servicio de atención al cliente y no me dieron ninguna solución; simplemente me decían que era decisión del anfitrión, sin asumir ninguna responsabilidad.Tuve que volver a contactar directamente con el anfitrión, quien me informó que Airbnb pone los precios sin consultarle y que suelen tener problemas con la verificación y la gestión de las reservas. Al final, tuve que reservar directamente con él y me costó 100 € más.Una experiencia decepcionante, poco profesional y totalmente desorganizada. No volveré a reservar con Airbnb, y no la recomiendo a nadie.",Valorada con 1 estrellas sobre 5
NO SON FIABLES EN ABSOLUTO!!,"NO SON FIABLES EN ABSOLUTO!!! La anfitriona de Caen (Aurelie) Francia ha mentido sobre mi en el feedback, el estudio estaba sucio y sin productos de limpieza, ha MENTIDO sobre mi en el perfil, HE RECLAMADO Y AIRBNB NO HA HECHO NADA POR SOLUCIONAR ESTO",Valorada con 1 estrellas sobre 5
El anfitrión nos exigió copia del DNI cuando es ilegal,"El anfitrión nos exigió mandar copias de DNI de todos los que nos íbamos a alojar. El 17 de junio de 2025, la Agencia de protección de datos de España informó que no se pueden pedir copias de DNI para alojamientos, solo datos a rellenar en un formulario. Pues bien, como AirBNB no nos ofrecía ninguna solución y la anfitriona decía que sin copia de DNI no entraríamos, debimos cancelar con una penalización de más del 50% del precio del alojamiento (cancelamos cinco días antes de ir). En fin, AirBNB nunca más. A partir de ahora a mirar hoteles de toda la vida.",Valorada con 1 estrellas sobre 5
No pongo 0 porque no me deja opción.,No pongo 0 porque no me deja opción.Airbnb colabora con anfitriones que engañan y estafa a usuarios de 10 años de experiencia.,Valorada con 1 estrellas sobre 5
Plaga Hormigas y AIRBNB no actua,"El alojamiento tenia una plaga de hormigas por la casa, se reclamo al anfitrión, y este no tomo soluciones, el caso se traslado a AIRBNB, que consideraron que vivir con la plaga de hormigas tenía una indemnización de 18€.",Valorada con 1 estrellas sobre 5
Airbnb horrible!,"Frigorífico con comida en mal estado y el olor q supone, horno que jamás se limpio, plaga de cucaracha. Tengo foto del horno y video con la plaga d cucarachas de la cocina. Me dicen que me contactan pronto y nada. Horrible, la primera vez q necesito algo de ellos, y nada. Muy decepcionada con la pésima reaccion de Airbnb",Valorada con 1 estrellas sobre 5
Es una estafa sin matices,"Es una estafa sin matices,Atencion al cliente es una absoluta farsa.",Valorada con 1 estrellas sobre 5
La peor empresa de servicios del mundo,"La peor empresa de servicios del mundo, no he visto nada igual y ya son muchas personas que opinan igual,todos los días le pido a Dios que cierre y quiebre airbnb por abusadores y publicidad engañosa,deben además aplicarles sanciones para que cierren y desaparezca, torres más altas  han caído, me dejaron abandonados en Emiratos Árabes sin sábanas en ellas camas,sin toallas,habitación sucia y no apareció nadie,hubo un corte de suministro eléctrico en el edificio y otro día corte de agua, en una de las  mejores zonas de Dubái.Se desentendieron del problema y no los denuncie porque   mis abogados comentaban que no merecia por los gastos de reclamación.Les deseo lo peor a airbnb y a sus responsables, la vida les devolverá el daño causado",Valorada con 1 estrellas sobre 5
Estafadores,"Me han cobrado 560 euros de una reserva que cancelé a las 2 horas de hacerla porque una vez hecha me llegaron las condiciones del anfitrión donde decía que a las 10am del domingo tenía que dejarlo. Al cancelarla Airbnb dice que las condiciones del anfitrión es cobrar ese dinero, pero el anime dice que él no ha cobrado nada, que eso lo cobra airbnb. Intento reactivarla porque ya que voy a perder más de 500 euros prefiero pagar el total, que son 700, y al menos disfrutar del alquiler y me dicen que no se puede reactivar ya. Por supuesto les he puesto una denuncia en la comisaría y mi banco está avisado. Me he desinstalado la app y jamás volveré a usarla, y desde aqui recomiendo a la gente que use Wallapop que pone apartamentos también, booking, o cualquie otra. BOICOT A AIRBNB",Valorada con 1 estrellas sobre 5
No me pongo cero porque no me da la…,"No me pongo cero porque no me da la opción. Airbnb no protege a los clientes, promocionando alojamientos inadecuados y que no se ajustan a lo que se encuentra en la web. No deberíamos alquilar más a través de esta plataforma ya que no nos respalda en lo absoluto. Experiencia fatal. Exponen a los clientes a zonas peligrosas, alojamientos sucios, inseguridad etc y no les importa",Valorada con 1 estrellas sobre 5
Airbnb no sirve,"Tuve un problema con un alojamiento donde el anfitrión mintió en su descripción, y terminé alojado en pésimas condiciones, y Airbnb NO HIZO NADA. Me dieron mil explicaciones y me ilusionaron con solucionar ese problema, pero no hicieron nada. No los recomiendo. Defienden a los anfitriones y no les importa el huesped",Valorada con 1 estrellas sobre 5
Muy decepcionante.,"casa de sueño en la playa. Anfitrión Manuel.Alojamiento entero: adosado en Adra, España14 viajeros4 dormitorios6 camas2,5 bañosEsa es la casa sobre la que voy a escribir mi opinión tras estar en ella menos de 48 horas por marcar la entrada después de las 15 y la salida antes de las 11 .... por casi 700 euros.4 adultos y 4 niños...La casa se anuncia como.una casa de ensueño mostrando en el anuncio unas fotos de cuando hizo la casa, funcionaba todo y estaba limpia....Pero la realidad que nos hemos encontrado es muy diferente...anuncia piscina climatizada la cuál no tiene luz por estar fundida. Las bañeras grandes sucias, grifos oxidados... las ventanas sucias y oxidadas... tuvo que venir abrirlas... Los suelos sucios, la almohada de bolitas del año 14, la cocina muy sucia, los platos,  vasos... sarten llena de grasa... la.zona de la barbacoa nada que ver.. ni una sombrilla, con lo cuál de dia no.se podía estar,  el.jacuzzi de arriba roto.. en su lugar una piscina hinchable que se desinflado....En fin ...relación calidad precio pésima... para cobrar lo que cobra, tiene que contratar a profesionales de la limpieza e invertir dinero en la casa...Ni repetiremos ni recomendamos...La plataforma Airbnb debería tener algún tipo de control sobre lo ofertado y la realidad....",Valorada con 2 estrellas sobre 5
Muy penoso el apartamento,"No me puedo quejar a Airbnb directamente ya que quién está de alta en ella es mi marido, pero tengo que contar esto porque creo que se lucran de la gente tanto la plataforma por no comprobar como está la casa, y el propietario por mentir descaradamente, es una empresa que tiene varios apartamentos y los gestiona en Aguadulce (Almería)y este en concreto deja mucho que desear, muy escaso de todo le hace falta un arreglo y espero que no se oferte como superanfitrion, por eso creo que Airbnb debería de contrastar bien las fotos y como están las viviendas para que la gente ya que paga por lo menos éste bien.",Valorada con 2 estrellas sobre 5
Son unos estafadores,Son unos estafadores. Me mueven la selección de la fecha que yo he elegido y encima cancelo y se quedan 114€. Nunca más!,Valorada con 1 estrellas sobre 5
